generation,sustainability,monitoring_cost,share_sanctioning,share_cooperative,share_selfish,share_loner
0,0.5,0.03529411764705883,0.35,0.35,0.15,0.15
1,0.5,0.03428571428571429,0.35256693830034935,0.36723515715948774,0.15738649592549475,0.1228114086146682
2,0.5,0.03888888888888889,0.3528242291650958,0.38256295360165665,0.16395555154356714,0.10065726568968042
3,0.5,0.03783783783783784,0.349696774191957,0.39730316668792887,0.1702727857233981,0.08272727339671597
4,0.5,0.03783783783783784,0.3451541140698503,0.41070508803598427,0.17601646630113613,0.06812433159302926
5,0.5,0.03684210526315789,0.3395982756723546,0.42307557834394566,0.18131810500454815,0.05600804097915153
6,0.5,0.042105263157894736,0.3331893945773373,0.43445338515408605,0.18619430792317976,0.046162912345396885
7,0.5,0.041025641025641026,0.32468948812922077,0.4460849770359612,0.19117927587255484,0.0380462589622631
8,0.5,0.041025641025641026,0.3157537518206868,0.45696049304923847,0.19584021130681653,0.03144554382325812
9,0.5,0.041025641025641026,0.30655933561270987,0.4672317979222243,0.20024219910952473,0.02596666735554114
10,0.5,0.041025641025641026,0.29720522021057705,0.4769584350184154,0.2044107578650352,0.021425586905972446
11,0.5,0.041025641025641026,0.28777274172736783,0.4861925450255849,0.20836823358239356,0.017666479664653786
12,0.5,0.041025641025641026,0.27832841218155646,0.49497948675641035,0.21213406575274732,0.014558035309285934
13,0.5,0.045000000000000005,0.2689263592992184,0.5033585301619102,0.21572508435510443,0.011990026183767053
14,0.5,0.045000000000000005,0.258299211413194,0.5122489811011396,0.21953527761477412,0.009916529870892369
15,0.5,0.045000000000000005,0.24786784979874926,0.5207543141235568,0.22318042033866722,0.00819741573902666
16,0.5,0.045000000000000005,0.2376607981294169,0.5288962383348687,0.22666981642922945,0.006773147106484982
17,0.5,0.045000000000000005,0.22770035092274374,0.536694007190555,0.23001171736738074,0.005593924519320555
18,0.5,0.045000000000000005,0.21800358935277328,0.5441647719449483,0.23321347369069215,0.004618165011586364
19,0.5,0.05,0.2085832320492924,0.55132389878078,0.23628167090604862,0.0038111982638788294
20,0.5,0.05,0.1983724380794429,0.5589369298549763,0.23954439850927559,0.003146233556305143
21,0.5,0.05,0.18853465160801272,0.56620834527148,0.24266071940206285,0.002596283718444398
22,0.5,0.05,0.17907184524505984,0.5731505283494713,0.24563594072120198,0.0021416856842669443
23,0.5,0.05,0.16998339501228588,0.5797753645206196,0.2484751562231227,0.001766084243971855
24,0.5,0.05,0.1612665074008152,0.5860943228801572,0.2511832812343531,0.0014558884846746533
25,0.5,0.05,0.1529165851370039,0.5921185203771739,0.25376508016164595,0.001199814324176161
26,0.5,0.05,0.1449275411338949,0.5978587709602696,0.2562251875544012,0.000988500351434269
27,0.5,0.05,0.13729206850813636,0.6033256219512927,0.2585681236934111,0.0008141858471598288
28,0.5,0.05500000000000001,0.1300018732059253,0.6085293797926671,0.2607983056254287,0.000670441375978892
29,0.5,0.05,0.12233037632749338,0.6139822210886547,0.2631352376094234,0.0005521649744285645
30,0.5,0.05,0.1157370994302751,0.6186659083093193,0.2651425321325654,0.0004544601278401354
31,0.5,0.05500000000000001,0.10945901225283285,0.6231169158146733,0.2670501067777171,0.0003739651547768279
32,0.5,0.05500000000000001,0.10287276867941149,0.6277736233998963,0.2690458385999555,0.0003077693207367046
33,0.5,0.05500000000000001,0.09664523867123313,0.6321710696961048,0.2709304584411878,0.00025323319147438274
34,0.5,0.05500000000000001,0.09076152492902848,0.6363211112226405,0.2727090476668459,0.00020831618148515755
35,0.5,0.05500000000000001,0.08520674315891857,0.6402353475011555,0.2743865775004952,0.00017133183943074146
36,0.5,0.05500000000000001,0.07996612162711635,0.6439250939120231,0.275967897390867,0.00014088706999352513
37,0.5,0.05500000000000001,0.07502508473504066,0.6474013585430731,0.2774577250898884,0.00011583163199776552
38,0.5,0.05500000000000001,0.07036932243074352,0.6506748229510114,0.27886063840757624,9.52162106688042e-05
39,0.5,0.05500000000000001,0.06598484709925342,0.6537558266855519,0.28018106857952213,7.825763567260323e-05
40,0.5,0.05500000000000001,0.061858039418276646,0.6566543553734401,0.2814232951600456,6.431004823761373e-05
41,0.5,0.05500000000000001,0.057975684523865575,0.6593800321219413,0.2825914423379747,5.2841016218542735e-05
42,0.5,0.05500000000000001,0.054324999701077084,0.6619421119767636,0.2836894765614699,4.341176068952119e-05
43,0.5,0.05500000000000001,0.05089365469576982,0.6643494791556602,0.2847212053524256,3.5660796144427335e-05
44,0.5,0.05500000000000001,0.04766978563438319,0.6666106467741054,0.28569027718890216,2.929040260930838e-05
45,0.5,0.05500000000000001,0.04464200343794144,0.6687337587816902,0.28660018233500995,2.4055445358516795e-05
46,0.5,0.05500000000000001,0.04179939752396227,0.670726593835642,0.2874542545009893,1.9754139406475283e-05
47,0.5,0.05500000000000001,0.03913153550487819,0.6725965708497667,0.28825567322132845,1.622042402673599e-05
48,0.5,0.06,0.0366284595135398,0.6743507559719688,0.2890074668451294,1.3317669362090505e-05
49,0.5,0.06,0.034065344212488184,0.6761466047785658,0.289777116333671,1.0934675274968201e-05
50,0.5,0.06,0.031676714359824006,0.6778200158670199,0.290494292514437,8.97725871918059e-06
51,0.5,0.06,0.02945135787510495,0.6793788907599794,0.2911623817542768,7.369610638941938e-06
52,0.5,0.06,0.027378691266918588,0.6808306815470974,0.2917845778058988,6.0493800852907006e-06
53,0.5,0.06,0.025448737473806347,0.6821824080612305,0.2923638891690987,4.965295864389057e-06
54,0.5,0.06,0.02365210241877384,0.683440675662692,0.29290314671258216,4.075205952118352e-06
55,0.5,0.06,0.021979950709175293,0.6846116933802552,0.29340501144868064,3.3444618888459214e-06
56,0.5,0.06,0.020423980846762283,0.6857012921957295,0.2938719823695982,2.744587910098035e-06
57,0.5,0.06,0.01897640025350874,0.6867149432930565,0.2943064042684526,2.2521849821847393e-06
58,0.5,0.06,0.01762990036682549,0.6876577761232371,0.2947104754813872,1.8480285502429548e-06
59,0.5,0.06,0.016377632012320707,0.6885345961631992,0.2950862554985138,1.5163259663617112e-06
60,0.5,0.06,0.01521318122272761,0.6893499022702436,0.29543567240153285,1.2441054958750983e-06
61,0.023105588998921452,0.06,0.01413054563741202,0.6901079035542159,0.29576053009466385,1.0207137082985643e-06
62,1.4536373363814043e-10,0.1,0.009891381946188414,0.4920193225247278,0.4980882635469941,1.031982089697223e-06
63,5.180842461954759e-18,0.125,0.006923967362331889,0.36166794980559197,0.6314064918808432,1.5909512330487107e-06
64,4.496056933482465e-26,0.145,0.004846777153632322,0.2678497717420942,0.727300787375145,2.6637291285756108e-06
65,2.317628755800162e-34,0.16000000000000003,0.0033927440075426254,0.19930393538853486,0.7972986374376909,4.683166231604365e-06
66,7.48461198385481e-42,0.17,0.002374920805279837,0.14873172897167297,0.8488848730339408,8.477189106286203e-06
67,2.057211861290225e-52,0.18000000000000002,0.0016624445636958859,0.11114415037782649,0.8871778519214664,1.5553137011300775e-05
68,6.59145649942742e-60,0.18500000000000003,0.00116371119458712,0.08322593231336545,0.9155812494570507,2.910703499677382e-05
69,6.59145649942742e-60,0.18500000000000003,0.0008145978362109842,0.06234542353637022,0.9367852966062796,5.468202113917506e-05
70,1.8004425351869614e-70,0.19,0.0005702184853476887,0.046644982304331416,0.9526833048618666,0.00010149434845419895
71,1.5678869437391146e-88,0.195,0.0003991529397433821,0.03493757902026087,0.9644728391961687,0.00019042884382706082
72,1.5678869437391146e-88,0.195,0.0002794070578203675,0.02620300264125459,0.9731557992564404,0.0003617910444846347
73,1.5678869437391146e-88,0.195,0.00019558494047425726,0.019641495435286295,0.9794790810756948,0.0006838385485446176
74,1.5678869437391146e-88,0.195,0.00013690945833198006,0.014716621073549539,0.9838592926184255,0.0012871768496930467
75,0.0,0.2,9.583662083238604e-05,0.011022266867965648,0.9864681651901273,0.0024137313210747377
76,0.0,0.2,6.708563458267021e-05,0.007715586807575951,0.9876199649615227,0.00459736259631859
77,0.0,0.2,4.695994420786915e-05,0.0054009107653031655,0.9858500952713279,0.008702034019161
78,0.0,0.2,3.28719609455084e-05,0.003780637535712216,0.979863981981778,0.016322508521564208
79,0.0,0.2,2.301037266185588e-05,0.0026464462749985515,0.9676039377003391,0.029726605652000488
