r0,welfare_efficiency
5.0,0.7581696701621656
5.0,0.7616855759184152
5.0,0.6639706136185696
5.0,-0.08020109995446953
5.0,-0.06865334015455916
5.0,-0.05096946804500543
5.0,-0.03205409274093006
5.0,-0.01268507335922132
5.0,0.006900000000000001
5.0,0.7781696701621658
5.0,0.7816855759184154
5.0,0.6839706136185696
5.0,-0.06020109995446956
5.0,-0.0486533401545592
5.0,-0.030969468045005468
5.0,-0.012054092740930097
5.0,0.007314926640778642
5.0,0.7981696701621659
5.0,0.8016855759184156
5.0,0.7039706136185697
5.0,-0.0402010999544696
5.0,-0.02865334015455924
5.0,-0.010969468045005504
5.0,0.007945907259069865
5.0,0.8181696701621661
5.0,0.8216855759184157
5.0,0.7239706136185698
5.0,-0.02020109995446964
5.0,-0.008653340154559278
5.0,0.009030531954994456
5.0,0.8381696701621661
5.0,0.8416855759184158
5.0,0.7439706136185699
5.0,-0.00020109995446967766
5.0,0.011346659845440683
5.0,0.8581696701621663
5.0,0.861685575918416
5.0,0.7639706136185699
5.0,0.019798900045530282
5.0,0.8781696701621665
5.0,0.8816855759184161
5.0,0.4257997630903181
5.0,0.8981696701621666
5.0,0.8843496880138467
5.0,0.9181696701621668
5.0,0.7781696701621658
5.0,0.7816855759184154
5.0,0.6839706136185696
5.0,-0.06758873472162152
5.0,-0.0502806735199975
5.0,-0.031542840468344574
5.0,-0.012276655104547058
5.0,0.007242024375
5.0,0.7981696701621659
5.0,0.8016855759184156
5.0,0.7039706136185697
5.0,-0.047588734721621555
5.0,-0.03028067351999754
5.0,-0.011542840468344617
5.0,0.007723344895452905
5.0,0.8181696701621661
5.0,0.8216855759184157
5.0,0.7239706136185698
5.0,-0.027588734721621596
5.0,-0.010280673519997577
5.0,0.008457159531655345
5.0,0.8381696701621661
5.0,0.8416855759184158
5.0,0.7439706136185699
5.0,-0.007588734721621634
5.0,0.009719326480002384
5.0,0.8581696701621663
5.0,0.861685575918416
5.0,0.7639706136185699
5.0,0.012411265278378327
5.0,0.8781696701621665
5.0,0.8816855759184161
5.0,0.4257997630903181
5.0,0.8981696701621666
5.0,0.8843496880138467
5.0,0.9181696701621668
5.0,0.7981696701621659
5.0,0.8016855759184156
5.0,0.7039706136185697
5.0,-0.04960248687431404
5.0,-0.031039369624153323
5.0,-0.011874742294182275
5.0,0.0075780975
5.0,0.8181696701621661
5.0,0.8216855759184157
5.0,0.7239706136185698
5.0,-0.029602486874314077
5.0,-0.011039369624153361
5.0,0.008125257705817686
5.0,0.8381696701621661
5.0,0.8416855759184158
5.0,0.7439706136185699
5.0,-0.009602486874314116
5.0,0.0089606303758466
5.0,0.8581696701621663
5.0,0.861685575918416
5.0,0.7639706136185699
5.0,0.010397513125685844
5.0,0.8781696701621665
5.0,0.8816855759184161
5.0,0.4257997630903181
5.0,0.8981696701621666
5.0,0.8843496880138467
5.0,0.9181696701621668
5.0,0.8181696701621661
5.0,0.8216855759184157
5.0,0.7239706136185698
5.0,-0.03054366571284733
5.0,-0.011479332001320102
5.0,0.007908219375
5.0,0.8381696701621661
5.0,0.8416855759184158
5.0,0.7439706136185699
5.0,-0.010543665712847369
5.0,0.008520667998679858
5.0,0.8581696701621663
5.0,0.861685575918416
5.0,0.7639706136185699
5.0,0.009456334287152592
5.0,0.8781696701621665
5.0,0.8816855759184161
5.0,0.4257997630903181
5.0,0.8981696701621666
5.0,0.8843496880138467
5.0,0.9181696701621668
5.0,0.8381696701621661
5.0,0.8416855759184158
5.0,0.7439706136185699
5.0,-0.011090421314034435
5.0,0.008232390000000001
5.0,0.8581696701621663
5.0,0.861685575918416
5.0,0.7639706136185699
5.0,0.008909578685965525
5.0,0.8781696701621665
5.0,0.8816855759184161
5.0,0.4257997630903181
5.0,0.8981696701621666
5.0,0.8843496880138467
5.0,0.9181696701621668
5.0,0.8581696701621663
5.0,0.861685575918416
5.0,0.7639706136185699
5.0,0.008550609375
5.0,0.8781696701621665
5.0,0.8816855759184161
5.0,0.4257997630903181
5.0,0.8981696701621666
5.0,0.8843496880138467
5.0,0.9181696701621668
5.0,0.8781696701621665
5.0,0.8816855759184161
5.0,0.4257997630903181
5.0,0.8981696701621666
5.0,0.8843496880138467
5.0,0.9181696701621668
5.0,0.8981696701621666
5.0,0.8843496880138467
5.0,0.9181696701621668
5.0,0.9181696701621668
5.0,0.7781696701621658
5.0,0.7816855759184154
5.0,0.6839706136185696
5.0,-0.06020109995446956
5.0,-0.0486533401545592
5.0,-0.030969468045005468
5.0,-0.012054092740930097
5.0,0.007314926640778642
5.0,0.7981696701621659
5.0,0.8016855759184156
5.0,0.7039706136185697
5.0,-0.0402010999544696
