n_sensitive,kind,welfare_efficiency,final_level,collapsed
0,conditional_cooperator,0.991,50.0,False
0,grim_trigger,0.991,50.0,False
1,conditional_cooperator,0.99084375,50.0,False
1,grim_trigger,0.98646875,43.75,False
2,conditional_cooperator,0.7770614460447159,16.92836710632718,False
2,grim_trigger,0.7770614460447159,16.92836710632718,False
3,conditional_cooperator,0.41519044046974024,0.0017853801951881478,True
3,grim_trigger,0.41519044046974024,0.0017853801951881478,True
4,conditional_cooperator,0.3769356524316575,3.284932547933962e-09,True
4,grim_trigger,0.3769356524334927,4.1061656849479293e-10,True
5,conditional_cooperator,0.36431906337256575,3.523649838478274e-05,True
5,grim_trigger,0.3643190633739341,8.24125629732279e-19,True
6,conditional_cooperator,0.35787782921970257,0.0005086953764100821,True
6,grim_trigger,0.35787782921992084,4.109223457017861e-31,True
7,conditional_cooperator,0.35385953409604654,0.002103371155853908,True
7,grim_trigger,0.35385953409608667,3.598016423478762e-52,True
8,conditional_cooperator,0.351,0.0,True
8,grim_trigger,0.351,0.0,True
