m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,welfare_efficiency,collapsed
1,0,0,6,2,0,0.654021085759264,False
1,0,0,7,0,1,0.9799999999999998,False
1,0,0,7,1,0,0.9934027572631832,False
1,0,0,8,0,0,1.0,False
1,0,1,0,0,7,0.8599999999999988,False
1,0,1,0,1,6,0.8799999999999989,False
1,0,1,0,2,5,0.8999999999999991,False
1,0,1,0,3,4,0.9199999999999993,False
1,0,1,0,4,3,0.9399999999999994,False
1,0,1,0,5,2,0.9599999999999996,False
1,0,1,0,6,1,0.9799999999999998,False
1,0,1,0,7,0,0.06234375,True
1,0,1,1,0,6,0.8799999999999989,False
1,0,1,1,1,5,0.8999999999999991,False
1,0,1,1,2,4,0.9199999999999993,False
1,0,1,1,3,3,0.9399999999999994,False
1,0,1,1,4,2,0.9599999999999996,False
1,0,1,1,5,1,0.9799999999999998,False
1,0,1,1,6,0,0.06537826161156801,True
1,0,1,2,0,5,0.8999999999999991,False
1,0,1,2,1,4,0.9199999999999993,False
1,0,1,2,2,3,0.9399999999999994,False
1,0,1,2,3,2,0.9599999999999996,False
1,0,1,2,4,1,0.9799999999999998,False
1,0,1,2,5,0,0.06971388024109355,True
1,0,1,3,0,4,0.9199999999999993,False
1,0,1,3,1,3,0.9399999999999994,False
1,0,1,3,2,2,0.9599999999999996,False
1,0,1,3,3,1,0.9799999999999998,False
1,0,1,3,4,0,0.07670738794865314,True
1,0,1,4,0,3,0.9399999999999994,False
1,0,1,4,1,2,0.9599999999999996,False
1,0,1,4,2,1,0.9799999999999998,False
1,0,1,4,3,0,0.09036818648847345,True
1,0,1,5,0,2,0.9599999999999996,False
1,0,1,5,1,1,0.9799999999999998,False
1,0,1,5,2,0,0.1311089108526063,True
1,0,1,6,0,1,0.9799999999999998,False
1,0,1,6,1,0,0.6621143924268501,False
1,0,1,7,0,0,1.0,False
1,0,2,0,0,6,0.8799999999999989,False
1,0,2,0,1,5,0.8999999999999991,False
1,0,2,0,2,4,0.9199999999999993,False
1,0,2,0,3,3,0.9399999999999994,False
1,0,2,0,4,2,0.9599999999999996,False
1,0,2,0,5,1,0.9799999999999998,False
1,0,2,0,6,0,0.064375,True
1,0,2,1,0,5,0.8999999999999991,False
1,0,2,1,1,4,0.9199999999999993,False
1,0,2,1,2,3,0.9399999999999994,False
1,0,2,1,3,2,0.9599999999999996,False
1,0,2,1,4,1,0.9799999999999998,False
1,0,2,1,5,0,0.0675572485394852,True
1,0,2,2,0,4,0.9199999999999993,False
1,0,2,2,1,3,0.9399999999999994,False
1,0,2,2,2,2,0.9599999999999996,False
1,0,2,2,3,1,0.9799999999999998,False
1,0,2,2,4,0,0.07215481172439062,True
1,0,2,3,0,3,0.9399999999999994,False
1,0,2,3,1,2,0.9599999999999996,False
1,0,2,3,2,1,0.9799999999999998,False
1,0,2,3,3,0,0.07959684156473495,True
1,0,2,4,0,2,0.9599999999999996,False
1,0,2,4,1,1,0.9799999999999998,False
1,0,2,4,2,0,0.09408521921583042,True
1,0,2,5,0,1,0.9799999999999998,False
1,0,2,5,1,0,0.13669032891974645,True
1,0,2,6,0,0,1.0,False
1,0,3,0,0,5,0.8999999999999991,False
1,0,3,0,1,4,0.9199999999999993,False
1,0,3,0,2,3,0.9399999999999994,False
1,0,3,0,3,2,0.9599999999999996,False
1,0,3,0,4,1,0.9799999999999998,False
1,0,3,0,5,0,0.06609375,True
1,0,3,1,0,4,0.9199999999999993,False
1,0,3,1,1,3,0.9399999999999994,False
1,0,3,1,2,2,0.9599999999999996,False
1,0,3,1,3,1,0.9799999999999998,False
1,0,3,1,4,0,0.06939751971667098,True
1,0,3,2,0,3,0.9399999999999994,False
1,0,3,2,1,2,0.9599999999999996,False
1,0,3,2,2,1,0.9799999999999998,False
1,0,3,2,3,0,0.07420542466872661,True
1,0,3,3,0,2,0.9599999999999996,False
1,0,3,3,1,1,0.9799999999999998,False
1,0,3,3,2,0,0.082001969424243,True
1,0,3,4,0,1,0.9799999999999998,False
1,0,3,4,1,0,0.0971297437922845,True
1,0,3,5,0,0,1.0,False
1,0,4,0,0,4,0.9199999999999993,False
1,0,4,0,1,3,0.9399999999999994,False
1,0,4,0,2,2,0.9599999999999996,False
1,0,4,0,3,1,0.9799999999999998,False
1,0,4,0,4,0,0.0675,True
1,0,4,1,0,3,0.9399999999999994,False
1,0,4,1,1,2,0.9599999999999996,False
1,0,4,1,2,1,0.9799999999999998,False
1,0,4,1,3,0,0.07090005893809109,True
1,0,4,2,0,2,0.9599999999999996,False
1,0,4,2,1,1,0.9799999999999998,False
1,0,4,2,2,0,0.07587029299360815,True
1,0,4,3,0,1,0.9799999999999998,False
1,0,4,3,1,0,0.0839364368504204,True
1,0,4,4,0,0,1.0,False
1,0,5,0,0,3,0.9399999999999994,False
1,0,5,0,1,2,0.9599999999999996,False
1,0,5,0,2,1,0.9799999999999998,False
1,0,5,0,3,0,0.06859375,True
1,0,5,1,0,2,0.9599999999999996,False
1,0,5,1,1,1,0.9799999999999998,False
1,0,5,1,2,0,0.0720658091241079,True
1,0,5,2,0,1,0.9799999999999998,False
1,0,5,2,1,0,0.07715414077486629,True
1,0,5,3,0,0,1.0,False
1,0,6,0,0,2,0.9599999999999996,False
1,0,6,0,1,1,0.9799999999999998,False
1,0,6,0,2,0,0.069375,True
1,0,6,1,0,1,0.9799999999999998,False
1,0,6,1,1,0,0.07289613730471707,True
1,0,6,2,0,0,1.0,False
1,0,7,0,0,1,0.9799999999999998,False
1,0,7,0,1,0,0.06984375,True
1,0,7,1,0,0,1.0,False
1,0,8,0,0,0,1.0,False
1,1,0,0,0,7,0.8599999999999988,False
1,1,0,0,1,6,0.8799999999999989,False
1,1,0,0,2,5,0.8999999999999991,False
1,1,0,0,3,4,0.9199999999999993,False
1,1,0,0,4,3,0.9399999999999994,False
1,1,0,0,5,2,0.9599999999999996,False
1,1,0,0,6,1,0.9799999999999998,False
1,1,0,0,7,0,0.06285953409608667,True
1,1,0,1,0,6,0.8799999999999989,False
1,1,0,1,1,5,0.8999999999999991,False
1,1,0,1,2,4,0.9199999999999993,False
1,1,0,1,3,3,0.9399999999999994,False
1,1,0,1,4,2,0.9599999999999996,False
1,1,0,1,5,1,0.9799999999999998,False
1,1,0,1,6,0,0.06687782921992085,True
1,1,0,2,0,5,0.8999999999999991,False
1,1,0,2,1,4,0.9199999999999993,False
1,1,0,2,2,3,0.9399999999999994,False
1,1,0,2,3,2,0.9599999999999996,False
1,1,0,2,4,1,0.9799999999999998,False
1,1,0,2,5,0,0.07331906337393412,True
1,1,0,3,0,4,0.9199999999999993,False
1,1,0,3,1,3,0.9399999999999994,False
1,1,0,3,2,2,0.9599999999999996,False
1,1,0,3,3,1,0.9799999999999998,False
1,1,0,3,4,0,0.08593565243445098,True
1,1,0,4,0,3,0.9399999999999994,False
1,1,0,4,1,2,0.9599999999999996,False
1,1,0,4,2,1,0.9799999999999998,False
1,1,0,4,3,0,0.12419780238092583,True
1,1,0,5,0,2,0.9599999999999996,False
1,1,0,5,1,1,0.9799999999999998,False
1,1,0,5,2,0,0.654021085759264,False
1,1,0,6,0,1,0.9799999999999998,False
1,1,0,6,1,0,0.9932655700683598,False
1,1,0,7,0,0,1.0,False
1,1,1,0,0,6,0.8799999999999989,False
1,1,1,0,1,5,0.8999999999999991,False
1,1,1,0,2,4,0.9199999999999993,False
1,1,1,0,3,3,0.9399999999999994,False
1,1,1,0,4,2,0.9599999999999996,False
1,1,1,0,5,1,0.9799999999999998,False
1,1,1,0,6,0,0.06537826161156801,True
1,1,1,1,0,5,0.8999999999999991,False
1,1,1,1,1,4,0.9199999999999993,False
1,1,1,1,2,3,0.9399999999999994,False
1,1,1,1,3,2,0.9599999999999996,False
1,1,1,1,4,1,0.9799999999999998,False
1,1,1,1,5,0,0.06971388024109355,True
1,1,1,2,0,4,0.9199999999999993,False
1,1,1,2,1,3,0.9399999999999994,False
1,1,1,2,2,2,0.9599999999999996,False
1,1,1,2,3,1,0.9799999999999998,False
1,1,1,2,4,0,0.07670738794865314,True
1,1,1,3,0,3,0.9399999999999994,False
1,1,1,3,1,2,0.9599999999999996,False
1,1,1,3,2,1,0.9799999999999998,False
1,1,1,3,3,0,0.09036818648847345,True
1,1,1,4,0,2,0.9599999999999996,False
1,1,1,4,1,1,0.9799999999999998,False
1,1,1,4,2,0,0.1311089108526063,True
1,1,1,5,0,1,0.9799999999999998,False
1,1,1,5,1,0,0.6615146524777453,False
1,1,1,6,0,0,1.0,False
1,1,2,0,0,5,0.8999999999999991,False
1,1,2,0,1,4,0.9199999999999993,False
1,1,2,0,2,3,0.9399999999999994,False
1,1,2,0,3,2,0.9599999999999996,False
1,1,2,0,4,1,0.9799999999999998,False
1,1,2,0,5,0,0.0675572485394852,True
1,1,2,1,0,4,0.9199999999999993,False
1,1,2,1,1,3,0.9399999999999994,False
1,1,2,1,2,2,0.9599999999999996,False
1,1,2,1,3,1,0.9799999999999998,False
1,1,2,1,4,0,0.07215481172439062,True
1,1,2,2,0,3,0.9399999999999994,False
1,1,2,2,1,2,0.9599999999999996,False
1,1,2,2,2,1,0.9799999999999998,False
1,1,2,2,3,0,0.07959684156473495,True
1,1,2,3,0,2,0.9599999999999996,False
1,1,2,3,1,1,0.9799999999999998,False
1,1,2,3,2,0,0.09408521921583042,True
1,1,2,4,0,1,0.9799999999999998,False
1,1,2,4,1,0,0.1361759053331829,True
1,1,2,5,0,0,1.0,False
1,1,3,0,0,4,0.9199999999999993,False
1,1,3,0,1,3,0.9399999999999994,False
1,1,3,0,2,2,0.9599999999999996,False
1,1,3,0,3,1,0.9799999999999998,False
1,1,3,0,4,0,0.06939751971667098,True
1,1,3,1,0,3,0.9399999999999994,False
1,1,3,1,1,2,0.9599999999999996,False
1,1,3,1,2,1,0.9799999999999998,False
1,1,3,1,3,0,0.07420542466872661,True
1,1,3,2,0,2,0.9599999999999996,False
1,1,3,2,1,1,0.9799999999999998,False
1,1,3,2,2,0,0.082001969424243,True
1,1,3,3,0,1,0.9799999999999998,False
1,1,3,3,1,0,0.09679800601748545,True
1,1,3,4,0,0,1.0,False
1,1,4,0,0,3,0.9399999999999994,False
1,1,4,0,1,2,0.9599999999999996,False
1,1,4,0,2,1,0.9799999999999998,False
1,1,4,0,3,0,0.07090005893809109,True
1,1,4,1,0,2,0.9599999999999996,False
1,1,4,1,1,1,0.9799999999999998,False
1,1,4,1,2,0,0.07587029299360815,True
1,1,4,2,0,1,0.9799999999999998,False
1,1,4,2,1,0,0.08368131099099546,True
1,1,4,3,0,0,1.0,False
1,1,5,0,0,2,0.9599999999999996,False
1,1,5,0,1,1,0.9799999999999998,False
1,1,5,0,2,0,0.0720658091241079,True
1,1,5,1,0,1,0.9799999999999998,False
1,1,5,1,1,0,0.07693906743340787,True
1,1,5,2,0,0,1.0,False
1,1,6,0,0,1,0.9799999999999998,False
1,1,6,0,1,0,0.07270371876406487,True
1,1,6,1,0,0,1.0,False
1,1,7,0,0,0,1.0,False
1,2,0,0,0,6,0.8799999999999989,False
1,2,0,0,1,5,0.8999999999999991,False
1,2,0,0,2,4,0.9199999999999993,False
1,2,0,0,3,3,0.9399999999999994,False
1,2,0,0,4,2,0.9599999999999996,False
1,2,0,0,5,1,0.9799999999999998,False
1,2,0,0,6,0,0.06687782921992085,True
1,2,0,1,0,5,0.8999999999999991,False
1,2,0,1,1,4,0.9199999999999993,False
1,2,0,1,2,3,0.9399999999999994,False
1,2,0,1,3,2,0.9599999999999996,False
1,2,0,1,4,1,0.9799999999999998,False
1,2,0,1,5,0,0.07331906337393412,True
1,2,0,2,0,4,0.9199999999999993,False
1,2,0,2,1,3,0.9399999999999994,False
1,2,0,2,2,2,0.9599999999999996,False
1,2,0,2,3,1,0.9799999999999998,False
1,2,0,2,4,0,0.08593565243445098,True
1,2,0,3,0,3,0.9399999999999994,False
1,2,0,3,1,2,0.9599999999999996,False
1,2,0,3,2,1,0.9799999999999998,False
1,2,0,3,3,0,0.12419780238092583,True
1,2,0,4,0,2,0.9599999999999996,False
1,2,0,4,1,1,0.9799999999999998,False
1,2,0,4,2,0,0.654021085759264,False
1,2,0,5,0,1,0.9799999999999998,False
1,2,0,5,1,0,0.9930492782592774,False
1,2,0,6,0,0,1.0,False
1,2,1,0,0,5,0.8999999999999991,False
1,2,1,0,1,4,0.9199999999999993,False
1,2,1,0,2,3,0.9399999999999994,False
1,2,1,0,3,2,0.9599999999999996,False
1,2,1,0,4,1,0.9799999999999998,False
1,2,1,0,5,0,0.06971388024109355,True
1,2,1,1,0,4,0.9199999999999993,False
1,2,1,1,1,3,0.9399999999999994,False
1,2,1,1,2,2,0.9599999999999996,False
1,2,1,1,3,1,0.9799999999999998,False
1,2,1,1,4,0,0.07670738794865314,True
1,2,1,2,0,3,0.9399999999999994,False
1,2,1,2,1,2,0.9599999999999996,False
1,2,1,2,2,1,0.9799999999999998,False
1,2,1,2,3,0,0.09036818648847345,True
1,2,1,3,0,2,0.9599999999999996,False
1,2,1,3,1,1,0.9799999999999998,False
1,2,1,3,2,0,0.1311089108526063,True
1,2,1,4,0,1,0.9799999999999998,False
1,2,1,4,1,0,0.660900355966056,False
1,2,1,5,0,0,1.0,False
1,2,2,0,0,4,0.9199999999999993,False
1,2,2,0,1,3,0.9399999999999994,False
1,2,2,0,2,2,0.9599999999999996,False
1,2,2,0,3,1,0.9799999999999998,False
1,2,2,0,4,0,0.07215481172439062,True
1,2,2,1,0,3,0.9399999999999994,False
1,2,2,1,1,2,0.9599999999999996,False
1,2,2,1,2,1,0.9799999999999998,False
1,2,2,1,3,0,0.07959684156473495,True
1,2,2,2,0,2,0.9599999999999996,False
1,2,2,2,1,1,0.9799999999999998,False
1,2,2,2,2,0,0.09408521921583042,True
1,2,2,3,0,1,0.9799999999999998,False
1,2,2,3,1,0,0.13565389540794398,True
1,2,2,4,0,0,1.0,False
1,2,3,0,0,3,0.9399999999999994,False
1,2,3,0,1,2,0.9599999999999996,False
1,2,3,0,2,1,0.9799999999999998,False
1,2,3,0,3,0,0.07420542466872661,True
1,2,3,1,0,2,0.9599999999999996,False
1,2,3,1,1,1,0.9799999999999998,False
1,2,3,1,2,0,0.082001969424243,True
1,2,3,2,0,1,0.9799999999999998,False
1,2,3,2,1,0,0.09646238227625167,True
1,2,3,3,0,0,1.0,False
1,2,4,0,0,2,0.9599999999999996,False
1,2,4,0,1,1,0.9799999999999998,False
1,2,4,0,2,0,0.07587029299360815,True
1,2,4,1,0,1,0.9799999999999998,False
1,2,4,1,1,0,0.0834234564400263,True
1,2,4,2,0,0,1.0,False
1,2,5,0,0,1,0.9799999999999998,False
1,2,5,0,1,0,0.07672192886070908,True
1,2,5,1,0,0,1.0,False
1,2,6,0,0,0,1.0,False
1,3,0,0,0,5,0.8999999999999991,False
1,3,0,0,1,4,0.9199999999999993,False
1,3,0,0,2,3,0.9399999999999994,False
1,3,0,0,3,2,0.9599999999999996,False
1,3,0,0,4,1,0.9799999999999998,False
1,3,0,0,5,0,0.07331906337393412,True
1,3,0,1,0,4,0.9199999999999993,False
1,3,0,1,1,3,0.9399999999999994,False
1,3,0,1,2,2,0.9599999999999996,False
1,3,0,1,3,1,0.9799999999999998,False
1,3,0,1,4,0,0.08593565243445098,True
1,3,0,2,0,3,0.9399999999999994,False
1,3,0,2,1,2,0.9599999999999996,False
1,3,0,2,2,1,0.9799999999999998,False
1,3,0,2,3,0,0.12419780238092583,True
1,3,0,3,0,2,0.9599999999999996,False
1,3,0,3,1,1,0.9799999999999998,False
1,3,0,3,2,0,0.654021085759264,False
1,3,0,4,0,1,0.9799999999999998,False
1,3,0,4,1,0,0.9927538818359378,False
1,3,0,5,0,0,1.0,False
1,3,1,0,0,4,0.9199999999999993,False
1,3,1,0,1,3,0.9399999999999994,False
1,3,1,0,2,2,0.9599999999999996,False
1,3,1,0,3,1,0.9799999999999998,False
1,3,1,0,4,0,0.07670738794865314,True
1,3,1,1,0,3,0.9399999999999994,False
1,3,1,1,1,2,0.9599999999999996,False
1,3,1,1,2,1,0.9799999999999998,False
1,3,1,1,3,0,0.09036818648847345,True
1,3,1,2,0,2,0.9599999999999996,False
1,3,1,2,1,1,0.9799999999999998,False
1,3,1,2,2,0,0.1311089108526063,True
1,3,1,3,0,1,0.9799999999999998,False
1,3,1,3,1,0,0.6602711713321894,False
1,3,1,4,0,0,1.0,False
1,3,2,0,0,3,0.9399999999999994,False
1,3,2,0,1,2,0.9599999999999996,False
1,3,2,0,2,1,0.9799999999999998,False
1,3,2,0,3,0,0.07959684156473495,True
1,3,2,1,0,2,0.9599999999999996,False
1,3,2,1,1,1,0.9799999999999998,False
1,3,2,1,2,0,0.09408521921583042,True
1,3,2,2,0,1,0.9799999999999998,False
1,3,2,2,1,0,0.13512421834481053,True
1,3,2,3,0,0,1.0,False
1,3,3,0,0,2,0.9599999999999996,False
1,3,3,0,1,1,0.9799999999999998,False
1,3,3,0,2,0,0.082001969424243,True
1,3,3,1,0,1,0.9799999999999998,False
1,3,3,1,1,0,0.0961228541437403,True
1,3,3,2,0,0,1.0,False
1,3,4,0,0,1,0.9799999999999998,False
1,3,4,0,1,0,0.08316295079267534,True
1,3,4,1,0,0,1.0,False
1,3,5,0,0,0,1.0,False
1,4,0,0,0,4,0.9199999999999993,False
1,4,0,0,1,3,0.9399999999999994,False
1,4,0,0,2,2,0.9599999999999996,False
1,4,0,0,3,1,0.9799999999999998,False
1,4,0,0,4,0,0.08593565243445098,True
1,4,0,1,0,3,0.9399999999999994,False
1,4,0,1,1,2,0.9599999999999996,False
1,4,0,1,2,1,0.9799999999999998,False
1,4,0,1,3,0,0.12419780238092583,True
1,4,0,2,0,2,0.9599999999999996,False
1,4,0,2,1,1,0.9799999999999998,False
1,4,0,2,2,0,0.654021085759264,False
1,4,0,3,0,1,0.9799999999999998,False
1,4,0,3,1,0,0.9923793807983395,False
1,4,0,4,0,0,1.0,False
1,4,1,0,0,3,0.9399999999999994,False
1,4,1,0,1,2,0.9599999999999996,False
1,4,1,0,2,1,0.9799999999999998,False
1,4,1,0,3,0,0.09036818648847345,True
1,4,1,1,0,2,0.9599999999999996,False
1,4,1,1,1,1,0.9799999999999998,False
1,4,1,1,2,0,0.1311089108526063,True
1,4,1,2,0,1,0.9799999999999998,False
1,4,1,2,1,0,0.6596267554668831,False
1,4,1,3,0,0,1.0,False
1,4,2,0,0,2,0.9599999999999996,False
1,4,2,0,1,1,0.9799999999999998,False
1,4,2,0,2,0,0.09408521921583042,True
1,4,2,1,0,1,0.9799999999999998,False
1,4,2,1,1,0,0.13458679200440304,True
1,4,2,2,0,0,1.0,False
1,4,3,0,0,1,0.9799999999999998,False
1,4,3,0,1,0,0.09577940304640327,True
1,4,3,1,0,0,1.0,False
1,4,4,0,0,0,1.0,False
1,5,0,0,0,3,0.9399999999999994,False
1,5,0,0,1,2,0.9599999999999996,False
1,5,0,0,2,1,0.9799999999999998,False
1,5,0,0,3,0,0.12419780238092583,True
1,5,0,1,0,2,0.9599999999999996,False
1,5,0,1,1,1,0.9799999999999998,False
1,5,0,1,2,0,0.654021085759264,False
1,5,0,2,0,1,0.9799999999999998,False
1,5,0,2,1,0,0.9919257751464841,False
1,5,0,3,0,0,1.0,False
1,5,1,0,0,2,0.9599999999999996,False
1,5,1,0,1,1,0.9799999999999998,False
1,5,1,0,2,0,0.1311089108526063,True
1,5,1,1,0,1,0.9799999999999998,False
1,5,1,1,1,0,0.6589667531692706,False
1,5,1,2,0,0,1.0,False
1,5,2,0,0,1,0.9799999999999998,False
1,5,2,0,1,0,0.13404153287771328,True
1,5,2,1,0,0,1.0,False
1,5,3,0,0,0,1.0,False
1,6,0,0,0,2,0.9599999999999996,False
1,6,0,0,1,1,0.9799999999999998,False
1,6,0,0,2,0,0.654021085759264,False
1,6,0,1,0,1,0.9799999999999998,False
1,6,0,1,1,0,0.9913930648803714,False
1,6,0,2,0,0,1.0,False
1,6,1,0,0,1,0.9799999999999998,False
1,6,1,0,1,0,0.6582907965727761,False
1,6,1,1,0,0,1.0,False
1,6,2,0,0,0,1.0,False
1,7,0,0,0,1,0.9799999999999998,False
1,7,0,0,1,0,0.99078125,False
1,7,0,1,0,0,1.0,False
1,7,1,0,0,0,1.0,False
1,8,0,0,0,0,1.0,False
