m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,g2_cooperative,g2_conditional_cooperator,g2_compensating_cooperator,g2_selfish,g2_sanctioning,g3_cooperative,g3_conditional_cooperator,g3_compensating_cooperator,g3_selfish,g3_sanctioning,welfare_efficiency,collapsed
4,0,0,0,0,2,0,0,0,0,2,0,1,0,0,1,2,0,0,0,0,0.8999999999999991,False
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,2,0.5382907965727763,False
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0.09980616078150394,True
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,2,0,0.010368186488473572,True
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,0,1,0.5589667531692707,False
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0.05110891085260643,True
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,2,0,0,0.5796267554668832,False
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,1,0,0,1,0.09980616078150394,True
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,1,0,1,0,0.014085219215830542,True
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0.054586792004403153,True
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,2,0,0,0,0.015779403046403396,True
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0.5582907965727764,False
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0.05110891085260643,True
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,0.5789667531692706,False
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0.05404153287771339,True
4,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0.5782907965727764,False
4,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0.8799999999999989,False
4,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,1,1,0.8999999999999991,False
4,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0.05110891085260643,True
4,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,1,0,1,0.8999999999999991,False
4,0,0,0,0,2,0,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0.5796267554668832,False
