degree,sustainability_ratio,welfare_efficiency,collapsed
2,0.13647472464787264,0.49639259809251823,0.0
4,0.11902165137368112,0.5678957493673782,0.0
6,0.12131152832649547,0.5226279674581551,0.0
well-mixed,0.13195358527465645,0.5469711174853387,0.0
