n_selfish,wealth_monitoring,welfare_efficiency,total_wealth_penalty,final_level
0,False,0.9996581982957127,0.0,50.3075801894492
0,True,0.9970471819531458,2.6,50.3075801894492
1,False,0.9901981732782643,0.0,44.31478814848147
1,True,0.9901981732782643,0.0,44.31478814848147
2,False,0.6608899587308779,0.0,16.194811032217046
2,True,0.6608899587308779,0.0,16.194811032217046
3,False,0.1256739696239499,0.0,2.8579248505495518e-05
3,True,0.1256739696239499,0.0,2.8579248505495518e-05
4,False,0.08723845099256136,0.0,5.47012545141188e-15
4,True,0.08723845099256136,0.0,5.47012545141188e-15
5,False,0.0741394876534558,0.0,1.7293155767293656e-27
5,True,0.0741394876534558,0.0,1.7293155767293656e-27
6,False,0.06793552256696443,0.0,4.257562972610683e-45
6,True,0.06793552256696443,0.0,4.257562972610683e-45
7,False,0.06374255031281549,0.0,8.900376388056599e-76
7,True,0.06374255031281549,0.0,8.900376388056599e-76
