strategy,n_selfish,welfare_off,welfare_on,byte_identical
cooperative,0,1.0,1.0,True
cooperative,1,0.99078125,0.99078125,True
cooperative,2,0.654021085759264,0.654021085759264,True
cooperative,3,0.12419780238092583,0.12419780238092583,True
sanctioning,0,0.8399999999999985,0.8399999999999985,True
sanctioning,1,0.8599999999999988,0.8599999999999988,True
sanctioning,2,0.8799999999999989,0.8799999999999989,True
sanctioning,3,0.8999999999999991,0.8999999999999991,True
