m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,g2_cooperative,g2_conditional_cooperator,g2_compensating_cooperator,g2_selfish,g2_sanctioning,g3_cooperative,g3_conditional_cooperator,g3_compensating_cooperator,g3_selfish,g3_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
4,1,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,2,0,2,0.0598985599546071,True
4,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0.13572889750783598,True
4,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,1,1,2,0.7573275352014315,False
4,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,2,0,0.046299305555555594,True
4,0,0,0,1,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,2,1,0,1,0.03804178694995771,True
4,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,1,2,0,1,0.06029840678786171,True
4,0,0,0,0,2,0,0,0,2,0,1,0,0,1,0,0,0,2,0,0,0,0,2,0,2,0.03989855995460713,True
4,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,3,0,0,0.0582920853575893,True
4,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,0,0,1,0,1,1,0,0,3,0,0.008096135744838808,True
4,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,2,0.043262729530535636,True
4,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,4,-0.001883026200510887,True
4,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,3,1,0.0430001226657214,True
4,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,1,2,0.018984273444480223,True
4,1,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,4,0.8771128178087125,False
4,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,2,0,0.05301866469166701,True
4,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,2,0.1422325680612183,True
4,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,2,1,1,0,0,2,0.11652026898390667,True
4,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,2,0,0.03433780876146751,True
4,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,1,1,0.0707245027855392,True
4,0,0,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,1,0,3,0,1,0,0.050613281511885516,True
4,0,0,0,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,2,-0.002333707919314091,True
4,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,4,0,0,0,0,0.9565770996457067,False
4,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,3,0,1,0.05592782407070034,True
4,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,3,1,0,0,0.08295183968156425,True
4,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,2,0,0,0,1,1,2,0,0,0.08363034315581057,True
4,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,0,0,0.6219449834827744,False
4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,1,2,1,0,1,0,0.8976891753644433,False
4,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,2,-0.010245966116196142,True
4,0,0,0,0,2,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,3,0.09482196407286334,True
4,1,0,0,1,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,2,0.6084658076495366,False
4,0,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,2,0,3,0,0,1,0.025800196251247024,True
4,0,2,0,0,0,2,0,0,0,0,1,0,1,0,0,1,0,0,1,0,4,0,0,0,0,0.1338178614153331,True
