m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
2,1,0,1,0,2,1,0,2,1,0,1,0,0,2,1,0.9183243474101784,False
2,1,1,0,2,0,0,0,0,1,3,3,0,0,1,0,0.026454268523503143,True
2,0,1,0,3,0,0,0,1,2,1,0,2,2,0,0,0.052289590207870836,True
2,2,2,0,0,0,0,0,1,1,2,1,3,0,0,0,0.04833094459421735,True
2,1,0,3,0,0,0,2,0,0,2,0,2,0,0,2,0.9195894419378986,False
2,0,2,0,0,2,0,0,1,3,0,1,0,2,1,0,0.037251259327889356,True
2,0,1,3,0,0,2,0,2,0,0,2,0,1,1,0,0.9237710090031274,False
2,1,0,2,0,1,1,0,2,0,1,1,0,0,3,0,0.6084658076495365,False
2,1,2,1,0,0,1,0,2,0,1,0,1,1,1,1,0.10792782088398256,True
2,0,0,3,1,0,2,0,1,0,1,0,0,1,0,3,0.9075079917068287,False
2,2,1,1,0,0,0,2,1,0,1,0,0,0,0,4,0.8835516979029133,False
2,0,2,1,0,1,0,2,1,1,0,2,0,1,1,0,0.0652749923161453,True
2,0,2,0,2,0,0,2,2,0,0,2,1,0,0,1,0.053557788816848695,True
2,1,0,2,0,1,1,1,1,0,1,0,2,0,1,1,0.9391839665422705,False
2,1,2,0,0,1,0,1,2,1,0,0,0,0,0,4,0.03831219620429926,True
2,1,1,0,1,1,0,0,0,1,3,0,0,2,0,2,0.8792912913954002,False
2,1,1,0,0,2,0,0,0,3,1,0,0,4,0,0,0.9388248137841885,False
2,0,1,0,3,0,1,0,0,2,1,2,0,0,1,1,0.035588675795656284,True
2,0,1,3,0,0,1,1,0,1,1,0,0,1,0,3,0.9042614324482129,False
2,0,0,0,3,1,0,2,0,0,2,0,2,0,0,2,0.8924798221263236,False
2,1,0,0,1,2,0,1,2,0,1,0,2,1,0,1,0.9195310277863394,False
2,0,3,1,0,0,0,1,2,0,1,1,0,2,1,0,0.07366374348563837,True
2,0,3,0,0,1,0,1,2,0,1,0,2,0,0,2,0.9178252431270094,False
2,0,0,0,2,2,0,1,2,0,1,0,3,1,0,0,0.06030430718027686,True
2,0,0,3,0,1,0,0,0,2,2,0,1,0,2,1,0.9172350844461513,False
2,1,1,1,0,1,0,0,4,0,0,1,0,2,1,0,0.972987371845669,False
2,0,2,0,1,1,1,0,1,0,2,2,0,1,0,1,0.9195010889982231,False
2,0,2,2,0,0,1,1,0,2,0,1,1,0,2,0,0.06961735068500968,True
2,0,1,1,2,0,3,0,1,0,0,2,0,0,0,2,0.08760056426778133,True
2,0,0,1,3,0,0,1,0,0,3,0,1,0,3,0,0.007599176045848035,True
2,0,1,0,1,2,0,1,3,0,0,0,1,3,0,0,0.15617483351273448,True
2,3,1,0,0,0,1,1,1,0,1,1,1,0,2,0,0.08615242303415428,True
2,1,0,1,1,1,1,3,0,0,0,0,3,0,0,1,0.04897133749073223,True
2,0,0,1,0,3,0,1,3,0,0,3,1,0,0,0,0.8639950958563083,False
2,1,0,0,2,1,0,1,1,0,2,1,0,1,2,0,0.12187554401717701,True
2,0,3,0,0,1,0,0,1,1,2,1,0,0,0,3,0.8794963809514554,False
2,0,1,0,1,2,3,0,0,0,1,2,1,0,1,0,0.3877260208322711,True
2,0,2,0,1,1,0,0,2,1,1,2,0,2,0,0,0.9587472241876469,False
2,0,0,1,3,0,0,1,1,2,0,3,0,0,0,1,0.04825080477863853,True
2,1,1,1,1,0,3,0,0,0,1,1,1,0,2,0,0.07090414465983975,True
2,2,1,1,0,0,3,0,0,1,0,2,0,1,1,0,0.16978647144779913,True
2,0,1,2,0,1,1,0,1,2,0,1,1,0,2,0,0.06022224758220137,True
2,3,0,1,0,0,2,1,0,0,1,2,1,1,0,0,0.9745922956127882,False
2,2,0,2,0,0,0,4,0,0,0,1,2,0,0,1,0.06570962482476836,True
2,0,0,0,4,0,0,2,0,1,1,0,2,1,0,1,0.030095604791940914,True
2,0,2,0,0,2,2,0,0,2,0,0,2,2,0,0,0.04777371376478874,True
2,1,1,2,0,0,0,2,0,2,0,1,0,1,0,2,0.04077865733495482,True
2,1,3,0,0,0,1,1,1,0,1,0,1,1,1,1,0.05315599754285368,True
2,1,1,0,2,0,0,3,0,1,0,0,0,2,1,1,0.04928623760839399,True
2,0,1,0,2,1,0,0,2,1,1,1,0,0,2,1,0.9350436290974983,False
2,2,0,0,1,1,3,0,0,1,0,1,1,0,0,2,0.9200881574803221,False
2,0,2,1,1,0,0,0,1,0,3,2,0,1,1,0,0.040525233903659766,True
2,3,0,0,0,1,1,0,2,1,0,1,3,0,0,0,0.1138253981229352,True
