m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
1,4,1,3,0,0,1,0,1,0,2,0.9541206550599466,False
1,0,3,2,2,1,0,0,1,2,1,0.95721873594884,False
1,0,3,2,3,0,0,0,2,1,1,0.05168373089815092,True
1,0,0,7,1,0,2,1,0,1,0,0.3064326293092484,False
1,3,3,0,2,0,0,0,1,3,0,0.06845813223946548,True
1,3,0,5,0,0,3,1,0,0,0,0.9997991029883504,False
1,3,1,0,2,2,0,1,0,1,2,0.9173618154487804,False
1,0,1,2,5,0,2,0,2,0,0,0.0682508047786385,True
1,6,0,1,1,0,0,1,1,2,0,0.1252030823774931,True
1,0,4,1,0,3,3,0,1,0,0,0.9402557245723615,False
1,4,1,1,2,0,1,3,0,0,0,0.08077865733495476,True
1,7,1,0,0,0,0,2,0,2,0,0.10187476314281721,True
1,5,1,2,0,0,4,0,0,0,0,0.9912150634186832,False
1,3,0,3,2,0,0,2,0,0,2,0.09300659745697683,True
1,2,5,0,0,1,1,0,1,0,2,0.9366357874835106,False
1,1,1,0,3,3,1,1,0,2,0,0.04201878492431082,True
1,1,1,4,1,1,3,0,0,1,0,0.9716321855674462,False
1,1,2,0,2,3,0,1,0,0,3,0.8758553689042765,False
1,0,3,3,2,0,0,2,1,0,1,0.056115145167057644,True
1,0,0,4,2,2,1,0,2,1,0,0.9500009897738922,False
1,0,0,1,1,6,0,2,1,1,0,0.07859795315109931,True
1,2,0,2,3,1,0,2,1,0,1,0.9588960479197703,False
1,0,0,0,3,5,0,0,2,0,2,0.8589153087862031,False
1,2,4,1,0,1,0,0,1,2,1,0.9563799002811382,False
1,0,3,1,2,2,0,0,1,3,0,0.05037910405397683,True
1,5,0,0,3,0,0,0,0,4,0,0.06688646734058383,True
1,4,1,0,0,3,1,0,2,0,1,0.919481858810643,False
1,0,0,5,1,2,3,0,0,0,1,0.9362530433227534,False
1,0,3,2,1,2,1,0,0,0,3,0.8995310277863396,False
1,2,2,1,3,0,2,1,0,1,0,0.07068699837028763,True
1,0,3,0,0,5,4,0,0,0,0,0.8983148529004605,False
1,0,1,3,1,3,2,0,2,0,0,0.937500914488903,False
1,0,3,3,0,2,2,0,2,0,0,0.9577414696275193,False
1,3,2,2,1,0,1,2,0,1,0,0.08155902475525542,True
1,0,2,2,3,1,0,0,3,0,1,0.9585504416737906,False
1,0,1,0,4,3,2,0,0,0,2,0.8971875079999168,False
1,1,0,2,1,4,1,3,0,0,0,0.11947357767197817,True
1,1,1,1,2,3,2,0,1,1,0,0.9265348175603253,False
1,4,1,0,2,1,0,0,1,1,2,0.9381999020114481,False
1,2,2,2,1,1,0,0,3,0,1,0.9579592941398292,False
1,0,0,4,1,3,1,2,0,0,1,0.9185196331944335,False
1,3,0,0,3,2,1,0,2,1,0,0.9442337680485506,False
1,3,2,1,0,2,0,0,3,1,0,0.9533631195852431,False
1,0,3,4,0,1,0,1,3,0,0,0.9803602890167468,False
1,0,2,2,3,1,3,1,0,0,0,0.2646620687570648,True
1,1,2,0,0,5,0,1,0,2,1,0.8745051350779182,False
1,1,1,2,2,2,0,1,2,1,0,0.1541829439986583,True
1,0,4,3,0,1,2,0,1,1,0,0.9621487121169435,False
1,0,3,4,0,1,0,0,2,0,2,0.9366141445982227,False
1,1,1,5,0,1,0,0,3,0,1,0.9422949106726605,False
1,0,0,3,1,4,4,0,0,0,0,0.917953451917267,False
1,4,0,0,3,1,0,0,0,1,3,0.9170072907590806,False
1,0,1,0,2,5,0,2,2,0,0,0.09566736071304299,True
1,0,2,0,4,2,1,2,0,1,0,0.05282629790454589,True
1,1,2,4,1,0,2,1,0,0,1,0.09006543820110556,True
1,0,3,0,0,5,1,2,0,0,1,0.8753419434291273,False
1,5,0,0,2,1,0,0,1,2,1,0.9567449267206857,False
1,0,2,0,3,3,1,1,1,0,1,0.9166068197999987,False
1,0,0,0,1,7,1,1,1,1,0,0.8386549772211892,False
1,0,4,1,0,3,2,0,1,0,1,0.9202557245723613,False
1,0,5,0,1,2,1,3,0,0,0,0.055322010852521385,True
1,2,3,2,0,1,2,1,0,1,0,0.17266670767309372,True
1,0,1,6,1,0,0,1,3,0,0,0.1751650874814457,True
1,0,5,1,2,0,0,2,0,2,0,0.06766388888888888,True
1,0,0,3,5,0,4,0,0,0,0,0.07130264845234294,True
1,0,0,4,1,3,1,0,1,1,1,0.9171513839738599,False
1,0,0,3,5,0,0,0,1,1,2,0.029124954214929607,True
1,2,0,2,1,3,2,1,0,0,1,0.9193094563405404,False
1,1,3,1,2,1,3,0,1,0,0,0.9793361296066532,False
1,0,1,7,0,0,0,0,1,2,1,0.9771110919619389,False
