visibility,sustainability_ratio,welfare_efficiency,collapsed
0.0,0.4375,0.99078125,0.0
0.2,0.3874652508407767,0.9773260433831928,0.0
0.4,0.35891455079037665,0.9491410904157614,0.0
0.6,0.2816114428767376,0.8759490769715107,0.0
0.8,0.21479827179292277,0.761154869789146,0.0
1.0,0.0953363710647533,0.5595139364646512,0.0
