diversity,welfare_efficiency
1,0.7496594171016938
2,0.7770013963733222
2,0.8045181293730759
2,0.8322895021986205
2,0.8604537851795161
2,0.8892749298972465
2,0.9193371904351829
2,0.9523254485339682
1,0.10363610031559492
2,0.7763260837683607
3,0.803668063039989
3,0.8311847960397428
3,0.8589561688652875
3,0.887120451846183
3,0.9159415965639134
3,0.9460038571018498
2,0.11492408887515444
2,0.8029927504350274
3,0.8303347297066556
3,0.8578514627064099
3,0.8856228355319543
3,0.9137871185128499
3,0.9426082632305803
2,0.1365245336168534
2,0.8296594171016942
3,0.8570013963733222
3,0.8845181293730771
3,0.9122895021986211
3,0.9404537851795167
2,0.2025582700682983
2,0.8563260837683611
3,0.8836680630399889
3,0.911184796039744
3,0.9389561688652881
2,0.5101662072101054
2,0.8829927504350279
3,0.9103347297066555
3,0.9378514627064112
2,0.7774296987008926
2,0.9096594171016947
3,0.9370013963733222
2,0.9636602357183378
2,0.9363260837683615
2,0.9925500339697533
1,0.9629927504350283
2,0.7763260837683607
3,0.803668063039989
3,0.8311847960397428
3,0.8589561688652875
3,0.887120451846183
3,0.9159415965639134
3,0.9460038571018498
2,0.10557805233269105
3,0.8029927504350274
4,0.8303347297066556
4,0.8578514627064099
4,0.8856228355319543
4,0.9137871185128499
4,0.9426082632305803
3,0.11721801150516267
3,0.8296594171016942
4,0.8570013963733222
4,0.8845181293730771
4,0.9122895021986211
4,0.9404537851795167
3,0.13937977515654026
3,0.8563260837683611
4,0.8836680630399889
4,0.911184796039744
4,0.9389561688652881
3,0.20641542696547874
3,0.8829927504350279
4,0.9103347297066555
4,0.9378514627064112
3,0.5137508723426446
3,0.9096594171016947
4,0.9370013963733222
3,0.7800507755006154
3,0.9363260837683615
3,0.9611945590802362
2,0.9629927504350283
2,0.8029927504350274
3,0.8303347297066556
3,0.8578514627064099
3,0.8856228355319543
3,0.9137871185128499
3,0.9426082632305803
2,0.10735852972417453
3,0.8296594171016942
4,0.8570013963733222
4,0.8845181293730771
4,0.9122895021986211
4,0.9404537851795167
3,0.11930901240568306
3,0.8563260837683611
4,0.8836680630399889
4,0.911184796039744
4,0.9389561688652881
3,0.14195831699946104
3,0.8829927504350279
4,0.9103347297066555
4,0.9378514627064112
3,0.20983861484132751
3,0.9096594171016947
4,0.9370013963733222
3,0.5168498970802178
