n_selfish,wealth_gate,welfare_efficiency,final_level,freerider_still_active
0,False,1.0,50.0,False
0,True,1.0,50.0,False
1,False,0.99078125,43.75,True
1,True,0.9123339928163037,64.28571428534462,True
2,False,0.654021085759264,16.722117559463328,True
2,True,0.654021085759264,16.722117559463328,True
3,False,0.12419780238092583,3.2505354262725236e-05,True
3,True,0.12419780238092583,3.2505354262725236e-05,True
4,False,0.08593565243445098,9.255026566264295e-15,False
4,True,0.08593565243445098,9.255026566264295e-15,False
5,False,0.07331906337393412,3.317206615198089e-27,False
5,True,0.07331906337393412,3.317206615198089e-27,False
6,False,0.06687782921992085,8.625833860432778e-45,False
6,True,0.06687782921992085,8.625833860432778e-45,False
