n_selfish,wealth_gate,welfare_efficiency,final_level,monitors_still_active
0,False,0.9599999999999996,50.0,True
0,True,0.7125000000000001,74.99999998495011,False
1,False,0.9599999999999996,50.0,True
1,True,0.7125000000000001,74.99999998495011,False
2,False,0.9599999999999996,50.0,True
2,True,0.7125000000000001,74.99999998495011,False
3,False,0.9599999999999996,50.0,True
3,True,0.7125000000000001,74.99999998495011,False
4,False,0.9599999999999996,50.0,True
4,True,0.7125000000000001,74.99999998495011,False
5,False,0.9599999999999996,50.0,True
5,True,0.7125000000000001,74.99999998495011,False
6,False,0.9599999999999996,50.0,True
6,True,0.7125000000000001,74.99999998495011,False
