generation,sustainability,share_sanctioning,share_cooperative,share_selfish
0,0.5,0.4,0.4,0.2
1,0.5,0.5270588235294117,0.31529411764705884,0.15764705882352942
2,0.5,0.6201416080864501,0.25323892794236663,0.12661946397118332
3,0.5,0.6883025206898419,0.20779831954010547,0.10389915977005273
4,0.5,0.7389165765981637,0.1740556156012243,0.08702780780061214
5,0.5,0.7777875662409929,0.1481416225060047,0.07407081125300236
6,0.5,0.809424799908387,0.12705013339440857,0.06352506669720429
7,0.5,0.8350002689540416,0.10999982069730566,0.05499991034865283
8,0.5,0.8533566454173404,0.09776223638843984,0.04888111819421992
9,0.5,0.869894680133537,0.08673687991097535,0.04336843995548768
10,0.5,0.8828545055571078,0.07809699629526151,0.039048498147630756
11,0.5,0.8946389502375484,0.07024069984163439,0.035120349920817195
12,0.5,0.9036314069660023,0.06424572868933184,0.03212286434466592
13,0.5,0.9119153510361583,0.05872309930922787,0.029361549654613937
14,0.5,0.9179469463079379,0.05470203579470799,0.027351017897353995
15,0.5,0.9235941650585292,0.050937223294313896,0.025468611647156948
16,0.5,0.9288776135379455,0.0474149243080363,0.02370746215401815
17,0.5,0.9338173333194426,0.0441217777870383,0.02206088889351915
18,0.5,0.9384327331219425,0.041044844585371575,0.020522422292685787
19,0.5,0.9427425366440167,0.038171642237322195,0.019085821118661098
20,0.5,0.9455871609651708,0.03627522602321943,0.018137613011609714
21,0.5,0.9482972633933608,0.03446849107109275,0.017234245535546373
22,0.5,0.9508785378355875,0.032747641442941684,0.016373820721470842
23,0.5,0.9533365034180453,0.03110899772130309,0.015554498860651545
24,0.5,0.9556765028889888,0.02954899807400753,0.014774499037003765
25,0.5,0.9579037019613553,0.028064198692429782,0.014032099346214891
26,0.5,0.9600230894897169,0.026651273673522064,0.013325636836761032
27,0.5,0.9620394783835015,0.025307014410998994,0.012653507205499497
28,0.5,0.963957507165689,0.02402832855620737,0.012014164278103685
29,0.5,0.9681378063219211,0.023452278683406328,0.00840991499467258
30,0.5,0.9712469528705919,0.022866106633137293,0.005886940496270806
31,0.5,0.9736008952169819,0.022278246435628483,0.004120858347389563
32,0.5,0.9754210952832072,0.021694303873620074,0.0028846008431726946
33,0.5,0.9768628155374941,0.02111796387228505,0.0020192205902208864
34,0.5,0.9780349382477945,0.020551607339050842,0.0014134544131546207
35,0.5,0.9790138512356312,0.019996730675160612,0.0009894180892082345
36,0.5,0.9798531761759374,0.01945423116161681,0.000692592662445764
37,0.5,0.980590584008295,0.018924601127992966,0.0004848148637120348
38,0.5,0.9812525695333718,0.018408060062029722,0.00033937040459842434
39,0.5,0.9818577962301577,0.017904644486623468,0.00023755928321889702
40,0.5,0.9824194394100292,0.01741426909171767,0.0001662914982532279
41,0.5,0.9829468276521635,0.01693676829905929,0.00011640404877725953
42,0.5,0.9834465926593429,0.016471924506513077,8.148283414408168e-05
43,0.5,0.9839234747519569,0.01601948726414234,5.703798390085717e-05
44,0.5,0.9843808871344064,0.015579186276863,3.992658873060002e-05
45,0.5,0.9848213111833765,0.015150740204512094,2.7948612111420013e-05
46,0.5,0.9852465733703488,0.014733862601173231,1.9564028477994012e-05
47,0.5,0.9856580392726912,0.014328265907374195,1.3694819934595807e-05
48,0.5,0.9860567495088275,0.013933664117218312,9.586373954217065e-06
49,0.5,0.9864435149942277,0.013549774544004458,6.710461767951945e-06
50,0.5,0.9868189837040289,0.01317631897273357,4.69732323756636e-06
51,0.5,0.9871836874778597,0.012813024395874078,3.2881262662964523e-06
52,0.5,0.9875380748455135,0.012459623466100179,2.3016883864075164e-06
53,0.5,0.9912766523918594,0.008721736426270124,1.6111818704852614e-06
54,0.5,0.9938936566743016,0.0061052154983890885,1.1278273093396832e-06
55,0.5,0.9957255596720112,0.004273650848872362,7.894791165377782e-07
56,0.5,0.9970078917704077,0.002991555594210653,5.526353815764447e-07
57,0.5,0.9979055242392855,0.002094088915947457,3.8684476710351126e-07
58,0.5,0.9985338669674998,0.0014658622411632197,2.7079133697245786e-07
59,0.5,0.99897370687725,0.0010261035688142537,1.895539358807205e-07
